checked_at,country,city,city_id,level,rate,error
21-09-2026 18:00 IST,India,Indore,2026,High,100.00,
21-09-2026 18:00 IST,India,Kadapa,2060,Moderate,35.34,
21-09-2026 18:00 IST,India,Madurai,2027,High,100.00,
21-09-2026 18:00 IST,India,Mangalore,59,Moderate,32.48,
21-09-2026 18:00 IST,India,Manjeri,97,Moderate,33.02,
21-09-2026 18:00 IST,India,Silchar,2062,High,100.00,
21-09-2026 18:00 IST,India,Tiruchirappalli,70,Moderate,55.57,
21-09-2026 18:00 IST,India,Vijayawada,2064,Low,15.49,
21-09-2026 19:00 IST,India,Coimbatore,2019,High,100.00,
21-09-2026 19:00 IST,India,Demow,137,High,100.00,
21-09-2026 19:00 IST,India,Goa,132,Low,20.79,
21-09-2026 19:00 IST,India,Indore,2026,High,100.00,
21-09-2026 19:00 IST,India,Kadapa,2060,Moderate,35.34,
21-09-2026 19:00 IST,India,Madurai,2027,High,100.00,
21-09-2026 19:00 IST,India,Mangalore,59,Moderate,32.48,
21-09-2026 19:00 IST,India,Manjeri,97,Moderate,33.02,
21-09-2026 19:00 IST,India,Silchar,2062,High,100.00,
21-09-2026 19:00 IST,India,Tiruchirappalli,70,Moderate,55.57,
21-09-2026 19:00 IST,India,Vijayawada,2064,Low,15.49,
21-09-2026 19:37 IST,India,Coimbatore,2019,High,100.00,
21-09-2026 19:37 IST,India,Demow,137,High,100.00,
21-09-2026 19:37 IST,India,Goa,132,Low,20.79,
21-09-2026 19:37 IST,India,Indore,2026,High,100.00,
21-09-2026 19:37 IST,India,Kadapa,2060,Moderate,35.34,
21-09-2026 19:37 IST,India,Madurai,2027,High,100.00,
21-09-2026 19:37 IST,India,Mangalore,59,Moderate,32.48,
21-09-2026 19:37 IST,India,Manjeri,97,Moderate,33.02,
21-09-2026 19:37 IST,India,Silchar,2062,High,100.00,
21-09-2026 19:37 IST,India,Tiruchirappalli,70,Moderate,55.57,
21-09-2026 19:37 IST,India,Vijayawada,2064,Low,15.49,
21-09-2026 20:00 IST,India,Coimbatore,2019,High,100.00,
21-09-2026 20:00 IST,India,Demow,137,High,100.00,
21-09-2026 20:00 IST,India,Goa,132,Low,20.79,
21-09-2026 20:00 IST,India,Indore,2026,High,100.00,
21-09-2026 20:00 IST,India,Kadapa,2060,Moderate,35.34,
21-09-2026 20:00 IST,India,Madurai,2027,High,100.00,
21-09-2026 20:00 IST,India,Mangalore,59,Moderate,32.48,
21-09-2026 20:00 IST,India,Manjeri,97,Moderate,33.02,
21-09-2026 20:00 IST,India,Silchar,2062,High,100.00,
21-09-2026 20:00 IST,India,Tiruchirappalli,70,Moderate,55.57,
21-09-2026 20:00 IST,India,Vijayawada,2064,Low,15.49,
21-09-2026 21:00 IST,India,Coimbatore,2019,High,100.00,
21-09-2026 21:00 IST,India,Demow,137,High,100.00,
21-09-2026 21:00 IST,India,Goa,132,Low,20.79,
21-09-2026 21:00 IST,India,Indore,2026,High,100.00,
21-09-2026 21:00 IST,India,Kadapa,2060,Moderate,35.34,
21-09-2026 21:00 IST,India,Madurai,2027,High,100.00,
21-09-2026 21:00 IST,India,Mangalore,59,Moderate,32.48,
21-09-2026 21:00 IST,India,Manjeri,97,Moderate,33.02,
21-09-2026 21:00 IST,India,Silchar,2062,High,100.00,
21-09-2026 21:00 IST,India,Tiruchirappalli,70,Moderate,55.57,
21-09-2026 21:00 IST,India,Vijayawada,2064,Low,15.49,
21-09-2026 22:00 IST,India,Coimbatore,2019,High,100.00,
21-09-2026 22:00 IST,India,Demow,137,High,100.00,
21-09-2026 22:00 IST,India,Goa,132,Low,20.79,
21-09-2026 22:00 IST,India,Indore,2026,High,100.00,
21-09-2026 22:00 IST,India,Kadapa,2060,Moderate,35.34,
21-09-2026 22:00 IST,India,Madurai,2027,High,100.00,
21-09-2026 22:00 IST,India,Mangalore,59,Moderate,32.48,
21-09-2026 22:00 IST,India,Manjeri,97,Moderate,33.02,
21-09-2026 22:00 IST,India,Silchar,2062,High,100.00,
21-09-2026 22:00 IST,India,Tiruchirappalli,70,Moderate,55.57,
21-09-2026 22:00 IST,India,Vijayawada,2064,Low,15.49,
21-09-2026 23:00 IST,India,Coimbatore,2019,High,100.00,
21-09-2026 23:00 IST,India,Demow,137,High,100.00,
21-09-2026 23:00 IST,India,Goa,132,Low,20.79,
21-09-2026 23:00 IST,India,Indore,2026,High,100.00,
21-09-2026 23:00 IST,India,Kadapa,2060,Moderate,35.34,
21-09-2026 23:00 IST,India,Madurai,2027,High,100.00,
21-09-2026 23:00 IST,India,Mangalore,59,Moderate,32.48,
21-09-2026 23:00 IST,India,Manjeri,97,Moderate,33.02,
21-09-2026 23:00 IST,India,Silchar,2062,High,100.00,
21-09-2026 23:00 IST,India,Tiruchirappalli,70,Moderate,55.57,
21-09-2026 23:00 IST,India,Vijayawada,2064,Low,15.49,
22-09-2026 00:00 IST,India,Coimbatore,2019,High,100.00,
22-09-2026 00:00 IST,India,Demow,137,High,100.00,
22-09-2026 00:00 IST,India,Goa,132,Low,20.79,
22-09-2026 00:00 IST,India,Indore,2026,High,100.00,
22-09-2026 00:00 IST,India,Kadapa,2060,Moderate,35.34,
22-09-2026 00:00 IST,India,Madurai,2027,High,100.00,
22-09-2026 00:00 IST,India,Mangalore,59,Moderate,32.48,
22-09-2026 00:00 IST,India,Manjeri,97,Moderate,33.02,
22-09-2026 00:00 IST,India,Silchar,2062,High,100.00,
22-09-2026 00:00 IST,India,Tiruchirappalli,70,Moderate,55.57,
22-09-2026 00:00 IST,India,Vijayawada,2064,Low,15.49,
22-09-2026 00:57 IST,India,Coimbatore,2019,High,100.00,
22-09-2026 00:57 IST,India,Demow,137,High,100.00,
22-09-2026 00:57 IST,India,Goa,132,Low,20.79,
22-09-2026 00:57 IST,India,Indore,2026,High,100.00,
22-09-2026 00:57 IST,India,Kadapa,2060,Moderate,35.34,
22-09-2026 00:57 IST,India,Madurai,2027,High,100.00,
22-09-2026 00:57 IST,India,Mangalore,59,Moderate,32.48,
22-09-2026 00:57 IST,India,Manjeri,97,Moderate,33.02,
22-09-2026 00:57 IST,India,Silchar,2062,High,100.00,
22-09-2026 00:57 IST,India,Tiruchirappalli,70,Moderate,55.57,
22-09-2026 00:57 IST,India,Vijayawada,2064,Low,15.49,
22-09-2026 01:00 IST,India,Coimbatore,2019,High,100.00,
22-09-2026 01:00 IST,India,Demow,137,High,100.00,
22-09-2026 01:00 IST,India,Goa,132,Low,20.79,
22-09-2026 01:00 IST,India,Indore,2026,High,100.00,
22-09-2026 01:00 IST,India,Kadapa,2060,Moderate,35.34,
22-09-2026 01:00 IST,India,Madurai,2027,High,100.00,
22-09-2026 01:00 IST,India,Mangalore,59,Moderate,32.48,
22-09-2026 01:00 IST,India,Manjeri,97,Moderate,33.02,
22-09-2026 01:00 IST,India,Silchar,2062,High,100.00,
22-09-2026 01:00 IST,India,Tiruchirappalli,70,Moderate,55.57,
22-09-2026 01:00 IST,India,Vijayawada,2064,Low,15.49,
22-09-2026 02:00 IST,India,Coimbatore,2019,High,100.00,
22-09-2026 02:00 IST,India,Demow,137,High,100.00,
22-09-2026 02:00 IST,India,Goa,132,Low,20.79,
22-09-2026 02:00 IST,India,Indore,2026,High,100.00,
22-09-2026 02:00 IST,India,Kadapa,2060,Moderate,35.34,
22-09-2026 02:00 IST,India,Madurai,2027,High,100.00,
22-09-2026 02:00 IST,India,Mangalore,59,Moderate,32.48,
22-09-2026 02:00 IST,India,Manjeri,97,Moderate,33.02,
22-09-2026 02:00 IST,India,Silchar,2062,High,100.00,
22-09-2026 02:00 IST,India,Tiruchirappalli,70,Moderate,55.57,
22-09-2026 02:00 IST,India,Vijayawada,2064,Low,15.49,
22-09-2026 03:00 IST,India,Coimbatore,2019,High,100.00,
22-09-2026 03:00 IST,India,Demow,137,High,100.00,
22-09-2026 03:00 IST,India,Goa,132,Low,20.91,
22-09-2026 03:00 IST,India,Indore,2026,High,100.00,
22-09-2026 03:00 IST,India,Kadapa,2060,Moderate,36.15,
22-09-2026 03:00 IST,India,Madurai,2027,High,100.00,
22-09-2026 03:00 IST,India,Mangalore,59,Moderate,32.63,
22-09-2026 03:00 IST,India,Manjeri,97,Moderate,33.12,
22-09-2026 03:00 IST,India,Silchar,2062,High,100.00,
22-09-2026 03:00 IST,India,Tiruchirappalli,70,Moderate,56.41,
22-09-2026 03:00 IST,India,Vijayawada,2064,Low,15.58,
22-09-2026 04:00 IST,India,Coimbatore,2019,High,100.00,
22-09-2026 04:00 IST,India,Demow,137,High,100.00,
22-09-2026 04:00 IST,India,Goa,132,Low,20.91,
22-09-2026 04:00 IST,India,Indore,2026,High,100.00,
22-09-2026 04:00 IST,India,Kadapa,2060,Moderate,36.15,
22-09-2026 04:00 IST,India,Madurai,2027,High,100.00,
22-09-2026 04:00 IST,India,Mangalore,59,Moderate,32.63,
22-09-2026 04:00 IST,India,Manjeri,97,Moderate,33.12,
22-09-2026 04:00 IST,India,Silchar,2062,High,100.00,
22-09-2026 04:00 IST,India,Tiruchirappalli,70,Moderate,56.41,
22-09-2026 04:00 IST,India,Vijayawada,2064,Low,15.58,
22-09-2026 04:46 IST,India,Coimbatore,2019,High,100.00,
22-09-2026 04:46 IST,India,Demow,137,High,100.00,
22-09-2026 04:46 IST,India,Goa,132,Low,20.91,
22-09-2026 04:46 IST,India,Indore,2026,High,100.00,
22-09-2026 04:46 IST,India,Kadapa,2060,Moderate,36.15,
22-09-2026 04:46 IST,India,Madurai,2027,High,100.00,
22-09-2026 04:46 IST,India,Mangalore,59,Moderate,32.63,
22-09-2026 04:46 IST,India,Manjeri,97,Moderate,33.12,
22-09-2026 04:46 IST,India,Silchar,2062,High,100.00,
22-09-2026 04:46 IST,India,Tiruchirappalli,70,Moderate,56.41,
22-09-2026 04:46 IST,India,Vijayawada,2064,Low,15.58,
22-09-2026 05:00 IST,India,Coimbatore,2019,High,100.00,
22-09-2026 05:00 IST,India,Demow,137,High,100.00,
22-09-2026 05:00 IST,India,Goa,132,Low,20.91,
22-09-2026 05:00 IST,India,Indore,2026,High,100.00,
22-09-2026 05:00 IST,India,Kadapa,2060,Moderate,36.15,
22-09-2026 05:00 IST,India,Madurai,2027,High,100.00,
22-09-2026 05:00 IST,India,Mangalore,59,Moderate,32.63,
22-09-2026 05:00 IST,India,Manjeri,97,Moderate,33.12,
22-09-2026 05:00 IST,India,Silchar,2062,High,100.00,
22-09-2026 05:00 IST,India,Tiruchirappalli,70,Moderate,56.41,
22-09-2026 05:00 IST,India,Vijayawada,2064,Low,15.58,
22-09-2026 06:00 IST,India,Coimbatore,2019,High,100.00,
22-09-2026 06:00 IST,India,Demow,137,High,100.00,
22-09-2026 06:00 IST,India,Goa,132,Low,20.91,
22-09-2026 06:00 IST,India,Indore,2026,High,100.00,
22-09-2026 06:00 IST,India,Kadapa,2060,Moderate,36.15,
22-09-2026 06:00 IST,India,Madurai,2027,High,100.00,
22-09-2026 06:00 IST,India,Mangalore,59,Moderate,32.63,
22-09-2026 06:00 IST,India,Manjeri,97,Moderate,33.12,
22-09-2026 06:00 IST,India,Silchar,2062,High,100.00,
22-09-2026 06:00 IST,India,Tiruchirappalli,70,Moderate,56.41,
22-09-2026 06:00 IST,India,Vijayawada,2064,Low,15.58,
